file_name,obj_class,volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,elongation,A3,D1,D2,D3,D4
m1352.obj,AircraftBuoyant,0.7941,0.8215,1.2377,0.1154,0.6277,1.3285,1.1464,0.8282,0.0048,0.008,0.0156,0.0157,0.0105
m1344.obj,AircraftBuoyant,0.0414,0.386,0.2623,0.1539,0.6017,1.6277,0.2894,1.2438,0.0086,0.0283,0.015,0.0075,0.0053
m1346.obj,AircraftBuoyant,0.9714,1.0651,0.2976,0.0812,0.8602,0.9085,0.7726,0.2822,0.0066,0.0063,0.0084,0.0129,0.0084
m1351.obj,AircraftBuoyant,1.0991,1.1099,0.2847,0.0201,0.8144,0.0019,0.2676,1.0872,0.0116,0.0091,0.0085,0.0143,0.0092
m1348.obj,AircraftBuoyant,0.9736,1.0648,0.2039,0.0814,0.858,1.1419,0.7756,0.3873,0.0056,0.0061,0.0095,0.0129,0.0087
m1347.obj,AircraftBuoyant,0.7302,0.8028,0.2325,0.0905,0.6628,0.9884,0.2954,0.0123,0.0033,0.0089,0.0069,0.008,0.0023
D00310.obj,Apartment,1.7267,2.7831,0.9401,0.0924,4.2833,1.1577,0.0009,0.2875,0.0037,0.0055,0.0069,0.0047,0.0028
D00869.obj,Apartment,0.156,1.0118,1.3921,0.1429,2.8957,1.0991,0.1524,0.5428,0.007,0.0067,0.0056,0.0044,0.013
D00859.obj,Apartment,0.2213,0.4478,0.2479,0.0799,0.694,0.1021,0.0009,0.7134,0.0041,0.0084,0.0076,0.0054,0.0015
D00921.obj,Apartment,0.115,0.349,0.0833,0.1536,0.6394,0.826,0.0009,0.142,0.0062,0.0194,0.0122,0.0025,0.008
m76.obj,AquaticAnimal,1.2208,1.265,0.2332,0.0124,0.9532,1.7021,1.9041,0.715,0.0086,0.0055,0.0094,0.0153,0.015
m74.obj,AquaticAnimal,1.2968,1.3117,0.2361,0.0232,0.9599,1.5935,2.0551,0.4598,0.0109,0.0062,0.0104,0.0171,0.0158
m79.obj,AquaticAnimal,1.3753,1.3885,0.0107,0.1481,1.0103,1.4523,2.0158,0.0867,0.0164,0.0095,0.0075,0.0188,0.0162
m57.obj,AquaticAnimal,1.2815,1.2303,0.1432,0.4852,0.8193,0.8427,1.3176,0.1402,0.0119,0.0077,0.0089,0.0151,0.0166
m62.obj,AquaticAnimal,1.0972,1.1118,0.3223,0.2839,0.8198,0.8952,1.5701,1.3121,0.0054,0.0064,0.0143,0.0122,0.0155
m63.obj,AquaticAnimal,0.2425,0.4605,0.3131,0.1503,0.5586,1.5505,0.9131,1.3177,0.0087,0.0212,0.0184,0.0138,0.005
m73.obj,AquaticAnimal,0.9488,1.045,0.2337,0.0417,0.8488,1.9007,1.5641,1.2829,0.0059,0.007,0.0068,0.0088,0.0084
D00538.obj,Bed,0.3437,0.2664,1.7733,0.0662,0.0808,1.2698,1.197,0.7519,0.0088,0.0288,0.0084,0.0141,0.0196
D00650.obj,Bed,0.1337,0.2984,1.7297,0.035,0.4731,0.7655,0.0009,0.2725,0.0045,0.0093,0.003,0.0051,0.0016
D00307.obj,Bed,0.6145,1.4647,0.5964,0.0356,3.0006,0.1118,0.0009,1.2261,0.0045,0.0034,0.0057,0.0042,0.0024
D00988.obj,Bed,0.4038,1.0289,1.9638,0.0159,2.0496,0.6947,0.0009,0.6881,0.0034,0.0087,0.0022,0.0037,0.003
D00184.obj,Bed,1.9086,2.73,1.2596,0.0905,3.5722,0.1402,0.0009,1.0993,0.0056,0.0032,0.0058,0.0037,0.0054
D00558.obj,Bicycle,1.0159,0.9772,0.228,0.4647,0.6551,1.563,1.6866,0.6232,0.0074,0.0072,0.006,0.006,0.0145
m1476.obj,Bicycle,1.2491,1.227,0.2767,0.5779,0.8591,1.8584,2.6688,0.5052,0.0066,0.0076,0.0078,0.0059,0.013
D00077.obj,Bicycle,1.1917,1.1351,0.2968,0.333,0.7419,1.8767,2.6382,0.7294,0.0069,0.0071,0.0091,0.0069,0.0128
D00040.obj,Bicycle,1.0621,0.8884,0.1139,0.2714,0.322,1.7632,2.0099,1.1002,0.0072,0.0059,0.0073,0.0093,0.0127
D00930.obj,Bicycle,1.1945,1.2304,0.5964,0.4097,0.9232,1.9682,2.9387,1.1836,0.0067,0.0049,0.0085,0.0085,0.0126
D00199.obj,Biplane,0.9241,0.8909,0.1137,0.1049,0.6003,1.6854,1.9115,1.3068,0.0036,0.0065,0.0148,0.0116,0.0069
m1119.obj,Biplane,0.6734,0.6266,0.0353,0.1225,0.3887,1.6555,1.5223,1.2017,0.0052,0.0055,0.0117,0.0098,0.0065
m1127.obj,Biplane,0.8738,0.8213,0.0571,0.0924,0.5212,1.5411,1.7329,1.1986,0.0039,0.0067,0.0108,0.0095,0.0071
D00132.obj,Biplane,1.0007,0.9051,0.0777,0.0382,0.5086,1.6176,1.6801,1.3135,0.0076,0.0106,0.0102,0.0116,0.0092
D00113.obj,Bird,0.1041,0.2944,0.0538,0.144,0.9858,1.6477,0.7058,1.0946,0.0061,0.0053,0.0142,0.0078,0.0041
m47.obj,Bird,1.4215,1.3884,0.2986,0.1063,0.9613,1.7323,2.8347,1.1914,0.008,0.0047,0.017,0.0152,0.0144
D00599.obj,Bird,1.451,1.4059,0.2673,0.5635,0.9561,1.3271,2.2796,0.018,0.0155,0.0068,0.011,0.0161,0.0166
D00271.obj,Bird,1.2975,1.2576,0.2298,0.0543,0.8566,1.6901,2.5712,1.3153,0.0061,0.0047,0.0144,0.0086,0.0087
m43.obj,Bird,1.4021,1.4083,1.5965,0.1029,1.0179,2.1819,3.5413,1.3181,0.0066,0.0063,0.0201,0.017,0.017
m36.obj,Bird,0.4322,0.6113,0.184,0.147,0.6274,1.9191,1.7065,1.2717,0.006,0.0111,0.0201,0.016,0.0107
D01078.obj,Bookset,1.1272,1.3283,1.8519,0.1269,1.2746,0.073,0.0009,0.4262,0.0065,0.0064,0.0046,0.0036,0.0056
D01122.obj,Bookset,2.1363,3.0212,4.0984,0.1505,3.9154,0.8786,0.0009,0.861,0.0079,0.0049,0.0112,0.0038,0.0053
D01038.obj,Bookset,0.364,0.4438,0.7067,0.0706,0.4375,1.7831,0.0009,0.5225,0.0039,0.0088,0.0085,0.0085,0.0032
m486.obj,Bottle,0.7457,0.6632,0.1596,0.0641,0.3588,0.396,0.0009,0.4423,0.0084,0.0165,0.0077,0.0099,0.0066
D00123.obj,Bottle,1.0865,1.1127,0.2193,0.0157,0.8328,0.3862,0.5366,1.2341,0.0109,0.0069,0.0052,0.0093,0.0085
m483.obj,Bottle,1.0,1.0162,0.1369,0.0419,0.7537,0.3528,0.2346,2.3798,0.0097,0.0072,0.0046,0.0088,0.0064
D00176.obj,Bottle,0.7897,0.3106,0.1915,0.0963,1.0365,0.702,0.0009,0.4703,0.0037,0.0051,0.0067,0.0093,0.0024
D00020.obj,Bottle,1.0114,1.0826,0.2489,0.0703,0.8536,0.4642,0.3012,1.4529,0.0077,0.0067,0.006,0.0108,0.0054
m482.obj,Bottle,0.8365,0.8232,0.0809,0.0692,0.5786,0.4596,0.0207,1.1654,0.0064,0.0095,0.0044,0.0082,0.0033
D00166.obj,Bottle,0.4479,0.3231,0.0024,0.114,0.0774,0.2645,0.0009,0.0843,0.0041,0.0039,0.0076,0.0081,0.0044
m412.obj,BuildingNonResidential,1.2503,0.9443,0.034,0.1108,0.2221,0.9914,1.9135,0.7022,0.0059,0.0052,0.0119,0.0107,0.0107
m409.obj,BuildingNonResidential,0.9345,0.932,0.8893,0.1197,0.6711,1.3132,1.4276,0.6527,0.0039,0.0048,0.0051,0.0061,0.0078
m404.obj,BuildingNonResidential,0.7539,1.7298,1.081,0.1428,3.565,1.0521,0.0009,1.016,0.0062,0.0156,0.0191,0.0125,0.0074
m400.obj,BuildingNonResidential,2.5416,3.3546,3.1715,0.1502,3.9415,1.1728,0.0009,1.1455,0.0082,0.015,0.014,0.007,0.0053
m390.obj,BuildingNonResidential,0.0071,0.1909,0.4447,0.1463,0.3459,1.5469,0.9106,1.1681,0.0075,0.0083,0.0074,0.003,0.0073
m384.obj,BuildingNonResidential,0.1136,0.2819,2.9519,0.0842,0.468,1.1307,0.0973,1.1702,0.0043,0.0108,0.0211,0.0163,0.0145
D00815.obj,Bus,0.5689,0.5271,0.0011,0.057,0.3239,0.4107,0.0009,1.1047,0.0062,0.0095,0.0049,0.0068,0.0023
D00446.obj,Bus,0.3078,0.0963,0.0198,0.0118,0.2855,1.4473,0.0009,0.8815,0.0099,0.0092,0.0073,0.0109,0.0096
D00516.obj,Bus,0.5364,0.4817,0.3097,0.0697,0.2717,0.0959,0.0009,1.1944,0.0044,0.0074,0.0048,0.0039,0.0046
D00264.obj,Bus,0.839,0.8119,0.177,0.0127,0.5516,0.5534,0.4512,1.3137,0.0073,0.0069,0.0039,0.0021,0.0041
D00084.obj,Bus,0.8869,0.7549,0.0715,0.0194,0.332,0.1238,0.0009,1.7897,0.0126,0.0071,0.0054,0.0042,0.0059
D00754.obj,Bus,0.5303,0.2353,0.0617,0.0205,2.518,1.037,0.0009,1.3064,0.0066,0.0081,0.0044,0.0045,0.0059
D00785.obj,Car,0.306,0.4315,0.2477,0.09,0.4565,0.9426,0.0009,0.0541,0.0025,0.0071,0.0036,0.0025,0.0062
m1548.obj,Car,0.1447,0.2758,0.1568,0.0178,0.3988,0.3876,0.0009,0.1634,0.0033,0.0072,0.0069,0.0064,0.0049
m1542.obj,Car,0.0296,0.0352,0.2419,0.0682,0.1087,0.4427,0.0009,0.0404,0.0035,0.004,0.0032,0.0025,0.0042
m1524.obj,Car,0.4886,0.5626,0.0853,0.0793,0.4954,0.8233,0.0009,0.3051,0.0029,0.0078,0.0044,0.0038,0.0043
m1519.obj,Car,0.6419,0.6961,0.022,0.0227,0.5686,0.45,0.0009,0.7067,0.0046,0.0065,0.0029,0.0039,0.0018
D00377.obj,Car,0.0031,0.0066,0.0048,0.0007,0.009,0.0074,0.0009,0.0126,0.0022,0.0019,0.0013,0.0014,0.001
D00542.obj,Cellphone,1.0198,1.0266,0.1065,0.0726,0.7504,0.091,0.0941,0.6235,0.0043,0.0062,0.0136,0.0124,0.0093
D00192.obj,Cellphone,0.614,0.4596,0.1052,0.0574,0.0821,0.8245,0.0009,0.2957,0.0066,0.012,0.0056,0.0064,0.003
D00440.obj,Cellphone,1.2295,1.2212,0.2872,0.0094,0.872,0.0258,0.577,1.7556,0.0073,0.0074,0.0109,0.0142,0.0112
D00848.obj,Cellphone,0.8017,0.7098,0.1285,0.1804,0.3761,0.9029,0.0009,0.5289,0.0067,0.0082,0.0063,0.0072,0.008
D00018.obj,Cellphone,0.6524,0.4645,0.1086,0.1109,0.0153,0.5587,0.0009,0.2256,0.0061,0.0041,0.0066,0.0053,0.0073
D00079.obj,Cellphone,0.6328,0.5715,0.1942,0.0251,0.3266,0.2457,0.0009,0.5139,0.0036,0.0079,0.0051,0.0049,0.0011
D01112.obj,Chess,0.7876,0.9118,0.0459,0.0915,0.7829,1.4684,0.836,0.8079,0.0075,0.0086,0.006,0.0091,0.0075
D01099.obj,Chess,0.0424,0.2385,0.5969,0.127,0.4615,1.5366,0.2734,1.1564,0.0048,0.0073,0.0086,0.0058,0.0027
m1610.obj,Chess,0.2437,0.0463,0.4355,0.1386,0.3411,1.5219,0.0009,1.2181,0.0066,0.006,0.0071,0.0061,0.004
m1613.obj,Chess,0.7003,0.8438,0.0172,0.1009,0.7532,1.2562,0.5894,0.0917,0.0039,0.0062,0.0066,0.0077,0.0023
m1604.obj,Chess,0.6391,0.7647,0.1775,0.0649,0.6857,1.1048,0.3271,0.275,0.0058,0.0074,0.0078,0.011,0.0075
D01039.obj,City,0.7465,0.6832,3.6963,5.8956,0.4045,1.6848,1.4966,1.1888,0.008,0.0066,0.0118,0.0059,0.023
m1652.obj,City,0.9913,1.0278,1.3172,0.6305,0.7837,1.4689,1.6225,1.2175,0.0117,0.0137,0.0042,0.0081,0.0143
D01173.obj,City,1.1952,0.5684,0.5011,5.0789,2.8,2.1584,1.217,0.3131,0.0137,0.0121,0.0065,0.0074,0.0188
D01181.obj,City,0.3041,0.1739,1.7264,0.0777,0.0746,0.7731,0.0009,0.8432,0.0038,0.0073,0.0201,0.0168,0.0121
D01192.obj,City,0.2734,0.2917,2.2166,0.0001,0.2355,1.3127,0.3727,1.0034,0.0058,0.0058,0.0147,0.0124,0.0119
D01103.obj,City,0.9819,1.0132,1.3172,0.5534,0.7682,1.27,1.5907,0.4427,0.0112,0.0135,0.0058,0.0092,0.0139
D00561.obj,ClassicPiano,0.843,1.0886,0.053,0.0558,1.1825,0.9111,0.0009,1.0092,0.0069,0.0046,0.0141,0.0112,0.0081
D00811.obj,ClassicPiano,1.4204,0.8618,2.2835,0.1438,0.0471,1.6213,0.0009,1.191,0.0056,0.0081,0.0155,0.01,0.0043
D00009.obj,ClassicPiano,0.4469,0.3252,1.262,0.1285,0.0825,1.2813,0.0009,0.9903,0.0035,0.0072,0.0081,0.0061,0.0016
D00605.obj,ClassicPiano,0.7103,1.6694,1.9137,0.1197,3.4808,1.2984,0.0009,1.1099,0.0044,0.011,0.019,0.0162,0.0129
D00190.obj,ClassicPiano,1.242,1.1692,2.9157,0.1256,0.7492,1.4559,0.0009,1.1611,0.0063,0.0093,0.0115,0.0057,0.0046
D00092.obj,ClassicPiano,2.312,2.1608,2.6739,0.1342,1.365,1.3968,0.0009,1.2604,0.0063,0.0099,0.0132,0.0069,0.0051
m1774.obj,Computer,3.2659,3.0697,4.4507,0.1556,1.9636,0.8336,0.0009,1.234,0.0078,0.0058,0.0132,0.0058,0.0057
m1773.obj,Computer,0.3691,0.3192,1.1753,0.1348,0.1648,1.3247,0.1032,1.1474,0.0068,0.011,0.0139,0.0071,0.0047
D01164.obj,Computer,0.3437,0.6285,0.6773,0.1241,0.9361,0.8822,0.0009,1.2226,0.0062,0.0047,0.0106,0.006,0.0053
D01100.obj,Computer,1.9177,1.595,1.7078,0.1445,0.7627,0.876,0.0009,1.2826,0.0064,0.0083,0.0146,0.0069,0.0055
D00990.obj,ComputerKeyboard,0.9338,0.871,0.4781,2.652,0.5409,2.9491,0.0009,0.8197,0.0145,0.0153,0.004,0.0078,0.015
D00676.obj,ComputerKeyboard,0.6604,0.1555,0.8794,1.5718,1.1669,3.051,0.0009,0.1891,0.0098,0.0117,0.0054,0.0069,0.0157
D00642.obj,Cup,0.6873,0.8295,0.0817,0.0558,0.7427,0.3478,0.0009,0.4306,0.0069,0.0072,0.0084,0.0114,0.0106
D00355.obj,Cup,0.8681,0.9002,0.1322,0.0408,0.6891,0.7225,0.9209,0.5591,0.0108,0.0121,0.0089,0.0101,0.0072
m526.obj,Cup,0.0325,0.3149,0.2233,0.1477,0.5127,1.4287,0.4332,0.6658,0.0078,0.0136,0.0124,0.0072,0.0065
m501.obj,Cup,0.9814,0.5547,2.1708,0.1501,0.0519,1.3153,0.0009,1.2447,0.0067,0.0083,0.0094,0.0056,0.007
D00638.obj,Cup,0.0612,0.2528,0.8037,0.1369,0.4958,1.4206,0.23,0.9911,0.0052,0.0098,0.0068,0.0054,0.0048
D00214.obj,Cup,1.1093,1.151,2.7894,0.1578,0.8932,1.675,0.6951,1.3149,0.0062,0.0026,0.0114,0.0045,0.0087
D00882.obj,Cup,0.4441,0.0795,1.0759,0.1388,0.3172,1.1635,0.0009,0.9219,0.0064,0.0076,0.0089,0.0052,0.0064
m608.obj,DeskLamp,0.6388,0.2675,3.7587,0.1215,0.1983,1.6712,0.8619,0.8243,0.0082,0.0076,0.0047,0.0021,0.0067
m603.obj,DeskLamp,0.2093,0.4566,0.2059,0.1289,0.5788,1.6808,1.016,1.2854,0.0084,0.0053,0.0123,0.0067,0.0047
m613.obj,DeskLamp,1.2928,1.3209,3.0104,0.3101,0.9774,1.9696,3.1441,0.4386,0.0085,0.0054,0.0032,0.0034,0.0076
D00330.obj,DeskLamp,1.484,1.3922,0.2739,0.4568,0.8387,1.6532,3.1518,0.581,0.0151,0.0053,0.0097,0.0075,0.0103
D00693.obj,DeskLamp,1.1806,1.1716,0.002,0.0213,0.8355,1.3886,2.137,0.2679,0.006,0.0049,0.009,0.0081,0.0082
D00531.obj,DeskLamp,1.4613,1.4233,0.0723,0.2965,0.9796,1.5906,2.7167,0.443,0.0111,0.0034,0.0115,0.0111,0.0115
D00154.obj,DeskPhone,0.4876,0.351,1.1647,0.1582,0.04,0.0943,0.0009,0.7102,0.0052,0.0042,0.0114,0.0078,0.0115
D00958.obj,DeskPhone,0.9956,1.2062,1.0061,0.0413,1.2035,0.01,0.0009,1.1237,0.0063,0.0061,0.0086,0.0036,0.0048
D00556.obj,DeskPhone,1.1533,1.1488,1.7047,0.0953,0.826,0.3794,0.0009,1.0289,0.0055,0.0047,0.0084,0.0055,0.0026
D00894.obj,DeskPhone,0.6388,0.4839,2.0064,0.1042,0.1579,0.9644,0.0009,1.1729,0.0052,0.0045,0.0115,0.007,0.0029
D00897.obj,DeskPhone,0.7277,0.617,0.2255,0.0405,0.2765,0.5109,0.0009,0.3608,0.0059,0.0054,0.0108,0.0091,0.0091
m1717.obj,Door,0.6486,0.3577,1.2645,0.8055,0.31,1.3215,0.0009,0.2284,0.006,0.0127,0.0034,0.0037,0.0078
m1723.obj,Door,0.2861,0.0583,3.8526,2.3789,0.6999,2.5726,0.2965,1.1616,0.0072,0.0095,0.0054,0.002,0.0154
m1716.obj,Door,0.7222,0.0337,1.0719,2.8034,2.1812,1.779,0.0009,0.0889,0.0084,0.0072,0.0053,0.008,0.0107
D01141.obj,Door,0.723,0.0337,1.0719,2.8163,2.1874,1.8592,0.0009,0.07,0.0081,0.0059,0.0059,0.0074,0.0109
D01058.obj,Door,0.6725,0.3706,0.9101,0.808,0.3347,1.3679,0.0009,0.1705,0.0067,0.0119,0.0034,0.0033,0.0086
D00026.obj,Drum,0.2426,0.4635,0.1733,0.1367,0.6943,0.7194,0.0009,0.0716,0.0067,0.0079,0.0092,0.0046,0.0075
D00709.obj,Drum,0.3589,0.3311,0.3267,0.1319,0.2022,1.0579,0.0101,1.3217,0.0067,0.0175,0.0075,0.0051,0.0059
D00063.obj,Drum,2.7926,2.831,2.777,0.1597,2.107,1.2284,0.0009,1.3202,0.01,0.0222,0.0099,0.0031,0.0114
D00596.obj,Drum,1.828,1.5507,2.0459,0.1393,0.7803,1.04,0.0009,0.8221,0.0077,0.0062,0.0049,0.0032,0.0065
D00551.obj,Drum,2.0951,1.8435,0.9072,0.1434,1.0172,0.8283,0.0009,1.3205,0.0088,0.0238,0.0087,0.003,0.0067
D00115.obj,Drum,0.0673,0.0392,0.2449,0.1501,0.1598,1.1784,0.2067,1.1768,0.0086,0.0124,0.0046,0.0033,0.0102
D00022.obj,Fish,1.208,1.1602,0.2846,0.0592,0.774,1.624,1.5607,0.4416,0.0073,0.0034,0.0121,0.0169,0.0152
D00950.obj,Fish,1.1621,1.1501,0.175,0.075,0.8164,1.8828,2.4035,0.9892,0.007,0.0045,0.0134,0.0172,0.0135
D00030.obj,Fish,1.2631,1.221,0.2465,0.0584,0.8268,1.4169,1.7103,0.7559,0.0104,0.0063,0.0104,0.018,0.0167
D00748.obj,Fish,1.2176,1.1881,0.2981,0.0545,0.821,1.4993,1.6298,0.294,0.009,0.0066,0.0088,0.0154,0.0143
D00165.obj,Fish,1.2114,1.182,0.2117,0.0509,0.8169,1.4913,1.6913,0.3151,0.0101,0.0061,0.0092,0.0177,0.0167
D00142.obj,Fish,1.0997,1.0328,0.211,0.0127,0.6509,1.7146,1.8914,0.7963,0.0048,0.0048,0.014,0.0129,0.0111
